Ast,Blk,DR,DayNum,FGA,FGA3,FGM,FGM3,FTA,FTM,OR,PF,Score,Season,Stl,TO,TeamID,Win%
12.53,5.47,26.26,73.74,55.21,19.68,25.29,6.38,22.88,15.38,10.03,19.0,72.35,2018.0,6.41,14.15,1104.0,0.56
13.03,3.79,22.94,74.62,53.88,18.65,24.35,5.91,23.47,16.21,11.5,17.18,70.82,2018.0,5.91,13.74,1272.0,0.62
12.52,2.94,25.26,65.68,56.9,15.52,25.87,5.71,21.03,15.87,11.61,16.26,73.32,2018.0,4.71,11.74,1107.0,0.68
15.94,3.06,25.3,71.15,61.12,24.91,28.24,9.67,18.55,13.7,8.52,17.3,79.85,2018.0,6.79,11.67,1233.0,0.61
15.24,4.56,26.62,72.03,57.03,18.35,28.82,6.91,21.47,16.32,10.03,17.5,80.88,2018.0,4.97,12.29,1112.0,0.79
9.53,3.2,23.3,71.03,54.33,18.23,21.63,5.57,23.13,16.2,9.87,19.9,65.03,2018.0,5.53,15.6,1319.0,0.13
14.16,3.58,25.32,69.9,60.26,24.55,27.97,8.94,25.26,18.65,9.9,18.94,83.52,2018.0,6.58,10.71,1113.0,0.65
11.79,2.32,24.64,74.96,54.71,21.32,25.89,8.39,18.89,12.89,6.32,17.68,73.07,2018.0,5.68,13.0,1226.0,0.43
14.47,4.62,24.59,74.32,60.68,19.44,28.97,7.79,22.65,15.35,10.18,20.21,81.09,2018.0,6.24,11.0,1116.0,0.68
16.1,2.4,21.63,67.8,57.5,24.57,26.7,9.13,17.7,13.67,8.2,16.83,76.2,2018.0,6.93,13.6,1359.0,0.27
14.44,5.41,26.03,70.97,61.78,26.62,27.12,9.75,24.66,19.38,12.12,19.88,83.38,2018.0,7.44,12.25,1120.0,0.78
13.47,3.2,25.57,73.77,59.63,20.8,25.6,7.7,18.67,12.43,11.8,21.43,71.33,2018.0,6.03,15.17,1313.0,0.43
14.32,4.32,26.16,71.13,58.71,17.58,27.13,6.16,19.0,14.06,11.81,18.23,74.48,2018.0,5.55,13.52,1124.0,0.55
15.97,4.97,25.88,70.22,61.16,23.06,27.59,8.38,22.69,16.72,9.97,19.94,80.28,2018.0,6.59,13.91,1146.0,0.5
11.31,4.07,24.83,65.07,56.41,21.28,24.31,7.41,16.9,10.76,9.14,17.28,66.79,2018.0,5.21,12.34,1127.0,0.31
12.45,2.79,24.38,73.69,60.79,15.24,25.41,4.97,23.76,17.28,13.34,20.07,73.07,2018.0,7.24,13.62,1288.0,0.38
14.26,3.18,26.56,71.41,60.0,23.88,27.15,8.65,18.74,13.85,10.56,16.29,76.79,2018.0,5.03,12.71,1130.0,0.56
11.3,2.97,25.27,67.27,58.23,22.77,23.43,6.73,17.0,11.77,9.5,19.7,65.37,2018.0,6.23,15.77,1263.0,0.13
12.77,2.63,26.53,70.97,61.0,21.3,25.2,7.3,22.3,16.4,11.57,17.87,74.1,2018.0,5.7,12.8,1132.0,0.47
11.34,4.16,25.06,69.5,60.47,21.09,26.56,6.78,19.22,13.81,11.25,17.53,73.72,2018.0,5.28,12.28,1180.0,0.38
14.0,2.94,24.79,68.52,61.85,23.0,29.21,8.18,16.24,12.52,9.21,18.24,79.12,2018.0,6.73,11.18,1139.0,0.61
14.39,3.04,22.0,66.5,58.43,14.14,26.18,5.21,20.39,14.11,10.14,18.32,71.68,2018.0,7.07,13.79,1244.0,0.29
15.97,5.53,25.85,73.29,58.0,20.44,26.26,7.29,21.32,14.65,13.06,15.82,74.47,2018.0,7.29,11.47,1153.0,0.88
15.5,2.7,24.5,68.97,72.73,40.3,28.87,12.17,21.33,14.83,12.63,19.2,84.73,2018.0,9.1,14.07,1366.0,0.43
13.19,4.84,26.5,71.16,55.81,22.69,25.28,8.31,19.03,14.41,8.97,16.0,73.28,2018.0,5.69,12.09,1155.0,0.72
12.83,2.83,22.4,69.43,57.67,21.53,23.47,7.1,18.33,12.83,10.9,18.03,66.87,2018.0,7.67,15.33,1441.0,0.37
11.06,3.68,24.45,73.42,56.16,20.84,25.87,7.58,20.68,15.87,8.35,16.65,75.19,2018.0,5.35,9.87,1158.0,0.77
11.09,3.25,24.75,67.0,55.94,18.75,23.5,6.88,20.38,13.81,11.06,20.03,67.69,2018.0,4.78,15.09,1373.0,0.25
12.78,3.81,27.38,69.78,57.47,21.0,25.31,7.53,19.12,13.94,10.12,19.41,72.09,2018.0,4.38,14.09,1160.0,0.53
11.48,3.58,27.39,74.87,60.97,23.9,28.26,8.39,20.23,14.13,9.68,19.74,79.03,2018.0,4.74,12.55,1294.0,0.61
12.61,3.1,25.77,66.68,60.23,21.23,25.1,7.0,20.35,14.65,11.61,19.61,71.84,2018.0,5.87,13.55,1161.0,0.32
12.7,3.37,23.4,72.3,56.5,18.13,24.57,6.27,15.73,10.8,8.37,18.13,66.2,2018.0,5.27,12.0,1170.0,0.17
10.44,3.72,23.84,70.75,57.25,20.59,23.81,6.72,18.53,13.81,10.5,18.5,68.16,2018.0,5.94,12.59,1163.0,0.44
12.71,3.26,23.19,72.45,56.97,25.94,24.84,9.42,16.45,12.61,8.87,16.39,71.71,2018.0,6.13,11.0,1159.0,0.58
17.84,2.45,28.71,68.0,61.58,27.52,30.55,10.35,16.71,12.52,7.19,15.32,83.97,2018.0,5.48,11.35,1166.0,0.65
15.87,2.9,24.8,68.57,57.47,24.4,26.27,8.03,17.83,12.93,8.67,17.8,73.5,2018.0,6.5,13.3,1463.0,0.5
16.84,1.97,25.91,76.69,56.66,27.31,27.34,10.69,13.88,11.06,6.91,15.03,76.44,2018.0,4.78,9.56,1172.0,0.66
11.14,3.32,22.61,74.11,56.89,20.39,24.54,6.64,17.79,13.04,10.68,16.75,68.75,2018.0,6.64,13.21,1149.0,0.43
15.74,2.52,23.48,70.23,53.9,23.74,25.94,8.0,17.13,12.52,7.74,16.48,72.39,2018.0,5.23,13.74,1173.0,0.45
14.19,3.42,27.74,71.1,59.55,22.71,26.74,7.71,19.77,13.94,10.1,17.39,75.13,2018.0,5.26,13.23,1123.0,0.58
11.23,2.23,25.16,71.13,56.48,17.84,25.45,5.87,19.42,12.81,9.1,16.71,69.58,2018.0,4.71,10.58,1174.0,0.39
15.19,2.41,22.53,71.5,57.19,20.75,26.34,6.94,17.0,12.16,7.84,16.19,71.78,2018.0,7.62,11.66,1350.0,0.38
17.52,5.36,28.33,69.55,61.94,21.97,30.55,8.3,21.61,15.3,13.55,15.64,84.7,2018.0,7.52,12.61,1181.0,0.79
15.73,2.03,27.03,69.03,59.4,29.77,25.9,10.33,14.27,10.07,7.73,15.77,72.2,2018.0,4.17,11.67,1189.0,0.4
12.62,3.45,22.48,66.93,56.41,20.52,24.52,7.21,18.83,13.9,9.31,17.59,70.14,2018.0,6.38,13.28,1184.0,0.31
12.24,2.1,25.83,69.1,56.52,26.66,22.86,8.55,19.86,13.07,10.34,16.66,67.34,2018.0,5.28,14.59,1349.0,0.17
12.53,2.83,25.0,66.77,51.37,14.03,22.23,5.6,17.67,13.83,7.47,18.3,63.9,2018.0,6.1,13.8,1191.0,0.5
10.37,2.73,22.1,69.67,59.43,21.77,25.7,7.23,19.73,14.03,11.2,18.53,72.67,2018.0,6.5,13.2,1117.0,0.3
13.33,4.94,23.33,70.97,56.39,17.0,25.21,5.45,16.27,11.55,10.61,14.73,67.42,2018.0,5.73,12.76,1203.0,0.45
12.1,2.55,23.68,67.87,60.65,23.32,25.55,8.13,20.94,14.71,11.19,20.58,73.94,2018.0,5.16,13.13,1224.0,0.26
9.61,3.52,25.1,72.71,59.68,23.32,25.42,7.84,22.81,15.1,11.71,19.32,73.77,2018.0,6.52,11.29,1204.0,0.61
13.94,3.52,24.87,68.32,58.9,20.77,25.84,7.77,18.81,13.87,10.87,19.48,73.32,2018.0,5.84,13.13,1448.0,0.35
11.45,2.91,26.79,70.48,59.06,21.36,25.48,6.97,18.76,13.91,9.97,16.39,71.85,2018.0,6.06,12.88,1206.0,0.48
12.47,3.2,26.23,70.47,54.97,22.73,25.07,8.5,15.83,12.2,6.7,16.53,70.83,2018.0,4.17,13.3,1248.0,0.3
12.18,4.73,27.12,75.39,55.3,19.15,23.24,6.09,22.18,15.52,12.3,16.15,68.09,2018.0,3.82,12.73,1208.0,0.55
13.45,1.39,22.19,64.13,60.68,24.35,24.87,8.35,16.84,11.87,10.06,19.39,69.97,2018.0,6.13,12.94,1136.0,0.1
15.74,3.71,28.85,69.68,61.32,24.29,30.85,9.09,18.97,13.71,11.06,17.06,84.5,2018.0,6.44,11.29,1211.0,0.88
12.26,3.94,25.88,73.47,58.5,21.53,25.82,7.82,25.29,18.18,10.29,17.74,77.65,2018.0,5.59,12.62,1411.0,0.44
15.41,3.81,26.94,71.16,58.72,22.94,24.78,7.31,23.25,16.34,12.09,20.5,73.22,2018.0,6.25,13.44,1213.0,0.66
10.88,3.15,21.88,67.79,58.21,18.03,24.33,6.33,18.67,13.67,10.15,18.12,68.67,2018.0,5.61,13.82,1197.0,0.24
12.84,3.87,25.0,69.26,55.32,23.68,25.1,8.06,17.39,11.87,8.29,18.32,70.13,2018.0,6.03,12.26,1216.0,0.58
12.41,3.34,25.28,65.78,54.38,18.78,24.62,6.19,17.75,12.41,10.03,17.16,67.84,2018.0,5.03,14.78,1148.0,0.44
14.0,2.0,24.29,74.07,53.93,20.36,23.68,6.61,21.96,15.14,8.68,19.75,69.11,2018.0,5.39,13.57,1218.0,0.54
12.2,4.11,21.4,71.14,53.23,18.86,23.29,6.2,19.46,13.14,7.97,19.54,65.91,2018.0,7.86,14.2,1115.0,0.4
11.0,2.52,23.3,72.26,55.22,15.48,24.44,5.56,18.81,13.22,10.48,18.63,67.67,2018.0,6.56,12.67,1219.0,0.41
16.93,3.72,25.48,72.66,56.83,24.62,28.62,10.38,18.97,15.38,6.41,17.28,83.0,2018.0,5.34,12.38,1456.0,0.59
13.13,2.6,24.47,68.2,59.87,22.23,27.7,8.3,21.87,14.87,10.8,18.7,78.57,2018.0,4.83,10.97,1220.0,0.6
16.52,2.69,25.07,69.59,61.17,25.45,27.14,9.69,14.97,9.76,10.0,19.93,73.72,2018.0,5.62,13.45,1119.0,0.41
13.58,3.39,22.65,70.03,50.61,20.1,23.35,6.55,15.0,10.35,5.74,17.32,63.61,2018.0,6.23,12.29,1221.0,0.39
12.8,2.3,27.93,65.33,58.17,19.17,25.37,5.73,17.47,11.7,11.73,18.47,68.17,2018.0,4.57,15.0,1357.0,0.3
14.91,3.12,26.73,74.18,59.18,22.33,27.58,8.64,19.03,13.64,11.85,21.03,77.42,2018.0,6.42,12.15,1222.0,0.79
10.48,4.48,26.36,74.64,60.12,20.12,25.88,6.96,19.68,13.72,10.96,17.84,72.44,2018.0,4.76,13.76,1270.0,0.32
12.8,6.83,27.53,68.87,58.73,19.47,26.33,6.73,21.2,15.37,10.43,19.53,74.77,2018.0,6.87,15.4,1227.0,0.5
14.84,3.42,25.48,75.39,56.9,17.97,26.16,5.97,17.74,12.1,11.13,19.48,70.39,2018.0,4.68,14.16,1300.0,0.52
13.65,2.16,20.48,67.03,60.68,21.97,26.58,7.29,20.06,14.71,12.35,22.55,75.16,2018.0,7.32,13.39,1228.0,0.42
10.77,3.71,25.65,72.03,57.55,15.65,22.9,5.19,23.87,16.39,12.65,19.0,67.39,2018.0,5.42,13.48,1380.0,0.42
11.66,3.34,25.86,69.07,58.52,24.45,24.59,8.76,19.93,14.28,10.28,20.0,72.21,2018.0,7.48,14.48,1232.0,0.38
14.03,4.32,24.32,65.48,57.0,19.42,26.0,6.26,20.77,13.65,11.13,18.13,71.9,2018.0,6.42,12.45,1231.0,0.52
18.24,4.06,26.27,66.12,59.85,20.36,28.67,7.64,21.18,14.73,11.85,16.7,79.7,2018.0,5.21,13.36,1234.0,0.42
10.6,2.33,21.7,65.03,58.07,17.2,23.2,5.4,18.37,13.43,9.53,21.63,65.23,2018.0,6.67,15.23,1152.0,0.03
17.0,4.18,25.65,74.03,60.53,25.21,30.12,10.15,15.88,11.12,9.56,15.29,81.5,2018.0,6.62,11.68,1242.0,0.79
10.68,2.54,23.36,71.68,51.82,21.46,21.89,7.29,19.61,14.57,8.36,18.89,65.64,2018.0,7.14,14.82,1398.0,0.46
14.33,3.0,22.39,71.64,54.88,20.18,25.88,6.94,18.39,13.67,8.18,18.39,72.36,2018.0,7.79,11.45,1243.0,0.67
12.23,3.27,20.9,67.97,53.83,23.63,23.27,7.97,16.37,10.87,8.07,18.37,65.37,2018.0,7.23,13.77,1110.0,0.2
13.41,4.88,26.5,73.88,57.59,15.09,27.06,5.44,24.65,17.18,12.09,18.88,76.74,2018.0,5.62,13.03,1246.0,0.71
15.21,4.03,26.48,70.48,55.55,20.38,26.07,7.86,21.93,16.21,10.0,17.03,76.21,2018.0,5.97,13.9,1430.0,0.66
12.82,2.14,23.89,73.75,60.11,22.04,25.43,7.61,22.04,14.79,12.36,19.89,73.25,2018.0,7.71,12.75,1249.0,0.54
12.61,2.19,26.81,68.48,55.81,22.9,24.32,7.97,23.23,16.84,11.16,15.97,73.45,2018.0,4.48,12.87,1409.0,0.61
12.23,3.45,24.13,67.06,57.97,16.65,25.87,5.84,23.35,17.03,11.45,18.29,74.61,2018.0,6.71,15.1,1253.0,0.42
13.09,3.25,24.16,70.72,57.75,24.59,24.34,8.22,16.75,11.47,10.22,19.56,68.38,2018.0,5.53,11.88,1362.0,0.53
15.44,2.38,25.72,70.41,51.34,18.34,26.0,7.34,17.03,12.34,6.16,14.0,71.69,2018.0,6.66,12.38,1260.0,0.84
13.22,2.28,26.09,72.44,57.53,20.12,24.78,6.84,20.72,14.91,10.12,16.03,71.31,2018.0,6.59,13.06,1460.0,0.72
14.26,3.23,23.68,72.39,58.45,23.42,27.77,8.26,18.77,13.74,9.77,17.87,77.55,2018.0,7.58,11.52,1261.0,0.55
11.79,2.71,23.71,71.79,55.79,20.89,23.5,6.96,18.82,13.61,9.43,19.54,67.57,2018.0,5.82,14.57,1108.0,0.25
15.75,3.62,23.22,70.09,59.78,26.66,28.31,11.06,16.97,13.5,9.0,19.09,81.19,2018.0,6.16,12.06,1266.0,0.59
13.9,3.93,21.67,67.7,55.47,26.33,25.07,9.83,16.13,11.73,6.7,15.1,71.7,2018.0,6.8,10.93,1291.0,0.53
16.97,5.94,27.73,73.97,61.97,28.27,28.97,10.06,20.36,15.61,8.03,17.36,83.61,2018.0,6.58,13.15,1267.0,0.7
11.62,3.21,24.72,65.24,56.69,20.45,24.93,6.59,13.66,9.9,9.66,18.55,66.34,2018.0,6.24,14.69,1404.0,0.28
14.0,4.23,26.29,63.81,53.06,19.13,25.32,7.03,20.13,15.29,9.48,16.03,72.97,2018.0,4.23,13.65,1268.0,0.58
13.0,2.94,24.42,68.97,58.13,23.71,24.0,7.65,18.61,12.23,11.45,20.26,67.87,2018.0,7.87,13.94,1392.0,0.39
15.3,2.97,23.76,70.52,58.12,22.18,26.09,8.88,14.58,10.88,9.09,18.03,71.94,2018.0,4.82,12.82,1269.0,0.39
14.45,2.69,22.31,69.52,57.07,20.62,26.21,7.1,22.38,15.79,9.17,17.93,75.31,2018.0,7.07,13.45,1262.0,0.38
13.32,3.97,24.87,71.42,59.13,21.58,27.45,7.84,17.23,11.42,9.97,16.32,74.16,2018.0,6.55,11.32,1274.0,0.71
11.9,2.66,25.66,68.86,56.45,20.07,24.31,6.83,15.79,11.59,8.76,18.45,67.03,2018.0,5.24,13.93,1205.0,0.38
12.39,2.39,25.9,73.58,58.23,25.74,24.65,8.48,15.97,10.94,9.74,17.13,68.71,2018.0,7.52,13.58,1275.0,0.45
13.52,2.39,22.1,70.23,54.19,25.39,22.32,7.32,14.58,10.32,6.42,15.84,62.29,2018.0,9.13,12.45,1200.0,0.29
19.33,7.36,29.79,67.97,56.73,20.33,28.58,8.39,20.55,15.42,11.06,18.06,80.97,2018.0,4.09,13.18,1277.0,0.88
14.37,3.63,25.07,65.47,61.77,27.53,27.93,10.33,17.07,13.07,9.03,15.27,79.27,2018.0,4.9,14.57,1316.0,0.37
14.59,5.09,26.56,63.97,61.59,19.69,26.56,6.81,21.62,15.22,11.59,15.47,75.16,2018.0,5.66,11.03,1278.0,0.47
13.61,2.54,22.36,65.0,64.54,29.79,27.29,10.14,13.93,10.18,10.61,17.93,74.89,2018.0,5.71,11.57,1367.0,0.11
14.62,4.09,25.59,70.84,62.47,24.62,26.28,7.84,21.09,15.41,12.34,19.03,75.81,2018.0,6.25,11.41,1279.0,0.38
17.55,4.32,26.29,73.39,60.58,23.81,27.9,8.52,23.32,17.68,12.52,18.65,82.0,2018.0,7.26,13.13,1418.0,0.81
13.0,5.28,25.16,74.25,57.81,21.75,26.84,6.66,18.62,12.72,10.62,17.09,73.06,2018.0,6.69,13.31,1280.0,0.66
10.1,4.19,23.77,69.97,59.29,20.58,24.23,6.74,20.87,13.48,12.71,20.9,68.68,2018.0,5.45,14.1,1106.0,0.26
13.68,4.16,26.94,71.03,53.48,24.35,24.35,9.55,20.42,15.23,9.77,17.9,73.48,2018.0,5.1,14.03,1281.0,0.61
13.65,4.16,25.77,70.94,60.32,21.06,26.35,7.55,17.97,12.58,10.9,16.39,72.84,2018.0,4.81,11.9,1235.0,0.42
12.72,3.91,26.56,67.34,58.97,21.47,25.56,7.06,16.09,11.59,11.78,17.62,69.78,2018.0,4.5,11.56,1283.0,0.53
13.39,3.73,26.15,74.79,56.82,15.27,28.15,5.48,23.27,16.45,9.3,14.73,78.24,2018.0,7.15,11.82,1443.0,0.7
12.87,2.35,27.06,67.87,55.42,18.52,25.39,7.19,24.45,17.39,8.9,21.77,75.35,2018.0,6.35,15.29,1284.0,0.35
14.47,4.44,27.5,68.88,58.68,23.06,27.71,7.91,24.82,17.82,9.35,18.59,81.15,2018.0,5.62,12.62,1137.0,0.74
11.93,2.03,24.43,69.6,59.73,22.7,24.73,7.67,23.27,17.1,11.1,20.1,74.23,2018.0,5.4,12.37,1286.0,0.37
12.69,2.69,23.86,62.38,61.41,22.52,27.48,8.07,16.76,11.93,8.93,16.38,74.97,2018.0,5.28,13.28,1303.0,0.24
16.0,3.17,26.59,69.72,58.21,23.0,27.69,7.97,18.24,13.31,9.1,18.34,76.66,2018.0,7.07,12.31,1297.0,0.69
14.47,4.34,26.53,72.88,56.62,20.69,26.88,7.19,18.75,13.38,9.88,18.44,74.31,2018.0,7.25,13.62,1190.0,0.72
13.45,1.26,23.81,65.87,53.84,19.19,23.58,6.19,19.48,14.03,10.58,17.52,67.39,2018.0,6.32,14.19,1298.0,0.61
12.44,3.5,23.75,67.56,52.28,24.84,21.19,8.06,16.69,11.59,7.72,17.38,62.03,2018.0,4.31,13.84,1338.0,0.25
16.16,3.81,23.5,68.22,62.28,21.16,29.28,7.88,21.12,14.78,12.19,18.16,81.22,2018.0,7.5,12.19,1301.0,0.66
11.61,2.82,24.43,72.25,56.96,23.54,22.21,7.61,15.79,11.64,9.46,17.86,63.68,2018.0,7.14,14.96,1440.0,0.25
16.44,4.09,26.56,69.68,60.47,24.41,28.32,9.71,22.41,16.74,9.47,17.26,83.09,2018.0,6.26,9.94,1305.0,0.79
14.66,2.41,26.28,72.45,56.48,22.1,26.34,9.07,17.17,12.59,9.93,17.72,74.34,2018.0,4.17,13.17,1225.0,0.69
12.06,4.41,26.97,66.28,64.06,23.03,28.69,8.41,24.78,18.06,11.94,17.81,83.84,2018.0,5.03,11.25,1310.0,0.59
14.22,3.59,25.22,72.94,57.84,19.47,26.38,7.75,23.09,17.41,10.34,20.03,77.91,2018.0,6.94,11.47,1382.0,0.78
13.54,3.68,25.57,72.82,60.75,21.54,27.75,7.5,22.64,16.36,11.11,22.68,79.36,2018.0,8.96,15.46,1311.0,0.61
14.43,3.2,25.23,64.37,62.3,19.7,24.73,5.97,25.83,19.03,11.6,22.3,74.47,2018.0,7.7,13.53,1410.0,0.43
18.23,4.26,28.43,73.31,65.11,22.74,29.94,8.29,18.63,13.8,14.06,15.71,81.97,2018.0,5.66,12.03,1314.0,0.71
10.73,2.4,25.57,70.23,53.13,21.07,22.23,7.07,16.63,11.93,8.23,15.3,63.47,2018.0,4.87,11.2,1320.0,0.47
12.53,1.7,23.37,74.03,58.53,21.3,26.6,7.47,20.77,14.87,6.87,19.1,75.53,2018.0,7.77,13.03,1315.0,0.33
13.1,3.61,26.16,72.29,57.9,26.23,25.35,8.84,19.48,14.29,9.42,17.45,73.84,2018.0,4.97,12.65,1407.0,0.45
15.81,2.47,24.72,72.16,53.59,24.31,25.94,9.06,18.81,13.72,7.72,17.62,74.66,2018.0,6.53,13.62,1318.0,0.69
13.27,3.2,23.63,71.7,55.43,19.4,25.63,7.23,18.2,11.6,9.43,17.07,70.1,2018.0,7.43,13.8,1131.0,0.47
13.74,4.23,22.97,65.9,56.58,22.23,24.06,7.87,16.48,12.32,9.94,18.81,68.32,2018.0,4.81,11.71,1321.0,0.45
11.2,2.97,23.53,71.53,58.47,16.07,25.43,5.03,19.47,12.67,10.6,20.07,68.57,2018.0,6.97,13.3,1259.0,0.27
16.76,5.15,26.55,68.3,59.58,23.7,26.79,8.33,21.12,16.27,9.91,16.36,78.18,2018.0,6.06,13.18,1324.0,0.58
13.96,3.39,24.71,65.04,62.11,27.93,27.5,10.29,19.82,14.11,9.64,16.75,79.39,2018.0,7.75,11.71,1236.0,0.5
14.75,4.0,26.91,64.56,57.56,19.12,27.94,6.75,18.16,13.19,9.72,17.44,75.81,2018.0,6.03,11.81,1326.0,0.75
11.58,2.73,23.85,67.76,58.55,22.09,24.06,7.33,20.09,13.39,11.88,20.09,68.85,2018.0,7.76,14.85,1352.0,0.48
14.21,4.03,24.48,72.06,61.3,23.73,26.82,8.21,19.12,14.58,12.58,19.24,76.42,2018.0,6.61,13.33,1329.0,0.58
13.9,2.19,23.48,69.81,56.71,16.81,25.23,5.74,19.94,14.0,9.77,17.97,70.19,2018.0,4.74,11.68,1337.0,0.16
15.09,4.34,26.16,71.5,59.0,19.97,26.38,7.12,19.47,13.47,11.72,15.91,73.34,2018.0,7.47,10.41,1330.0,0.78
11.6,4.27,25.57,68.57,59.2,17.93,27.4,6.33,20.97,14.43,12.17,20.1,75.57,2018.0,6.5,12.73,1406.0,0.53
15.21,4.32,24.76,72.35,60.15,25.56,27.18,9.0,18.18,13.88,10.44,19.82,77.24,2018.0,6.82,11.88,1332.0,0.65
10.56,2.56,25.25,65.91,57.0,27.16,20.53,8.28,15.53,11.44,8.53,20.34,60.78,2018.0,5.38,14.44,1164.0,0.16
14.84,3.62,24.56,72.06,55.59,18.22,25.94,6.0,21.5,15.22,10.38,20.06,73.09,2018.0,6.62,13.25,1333.0,0.5
11.63,3.0,25.2,77.1,58.77,22.0,25.67,7.93,21.1,15.53,8.07,21.97,74.8,2018.0,4.77,12.77,1381.0,0.37
13.68,5.18,24.85,67.65,59.09,19.32,27.21,7.41,18.38,12.79,10.82,17.62,74.62,2018.0,7.41,12.09,1336.0,0.62
13.25,3.82,24.93,71.0,54.64,23.43,25.18,8.82,18.61,14.18,6.79,17.18,73.36,2018.0,6.36,12.11,1144.0,0.46
13.76,3.76,25.21,71.97,58.09,19.15,25.65,6.38,22.79,16.03,10.71,17.68,73.71,2018.0,6.85,12.47,1344.0,0.62
12.75,2.54,23.25,70.32,65.07,22.11,26.32,7.25,23.07,14.32,14.82,20.25,74.21,2018.0,6.36,14.25,1223.0,0.11
16.71,5.03,26.59,67.53,56.71,22.82,28.18,9.59,20.47,15.21,8.44,15.53,81.15,2018.0,5.82,10.68,1345.0,0.82
12.43,2.73,23.33,68.17,58.63,21.8,24.47,7.07,19.33,13.67,10.8,21.5,69.67,2018.0,4.8,13.63,1188.0,0.3
15.28,3.47,23.12,74.84,61.12,19.47,28.09,6.81,18.66,13.19,11.28,19.06,76.19,2018.0,7.5,10.75,1348.0,0.78
14.9,3.13,25.0,70.74,55.26,20.23,26.19,7.9,17.48,12.94,7.65,18.55,73.23,2018.0,7.03,13.52,1421.0,0.61
14.26,3.39,26.32,66.48,62.19,21.16,28.94,7.65,26.71,16.23,13.1,19.81,81.74,2018.0,7.58,13.29,1351.0,0.71
14.8,3.3,27.97,74.07,63.17,18.43,28.2,6.0,21.37,16.47,10.8,20.13,78.87,2018.0,5.43,12.77,1214.0,0.5
12.8,2.23,29.5,68.23,61.17,26.63,28.1,10.43,21.9,16.73,8.9,16.43,83.37,2018.0,4.87,10.1,1355.0,0.8
11.85,3.79,28.85,70.97,58.3,18.67,24.97,6.15,16.45,11.7,11.67,20.97,67.79,2018.0,4.88,14.09,1414.0,0.48
14.09,3.44,24.0,71.03,55.12,18.22,25.5,6.5,17.88,12.47,8.5,17.94,69.97,2018.0,7.56,12.69,1356.0,0.59
13.86,4.75,26.14,74.43,56.64,24.64,26.5,8.96,20.29,14.71,8.75,17.43,76.68,2018.0,6.43,14.07,1457.0,0.57
15.81,3.5,26.0,69.06,60.97,20.0,28.56,7.28,21.06,14.59,12.19,17.75,79.0,2018.0,6.28,12.81,1371.0,0.66
12.69,3.0,22.9,72.69,59.59,19.93,26.31,6.76,18.34,13.31,10.83,18.31,72.69,2018.0,6.52,13.66,1192.0,0.38
14.36,3.0,22.55,69.36,55.61,22.45,24.67,8.52,16.97,11.64,11.06,16.27,69.48,2018.0,7.39,11.61,1374.0,0.52
14.87,2.55,24.35,72.23,58.45,25.77,25.61,9.84,17.58,11.42,9.71,16.52,72.48,2018.0,7.39,11.68,1420.0,0.68
12.78,3.16,24.19,72.34,57.22,21.47,22.81,7.25,24.41,17.09,12.5,20.06,69.97,2018.0,5.53,13.81,1376.0,0.5
14.17,2.6,23.57,74.7,55.13,24.9,25.23,9.93,15.8,12.3,7.97,17.5,72.7,2018.0,6.27,12.33,1459.0,0.6
