Ast,Blk,DR,DayNum,FGA,FGA3,FGM,FGM3,FTA,FTM,OR,PF,Score,Season,Stl,TO,TeamID,Win%
11.84,2.38,23.62,67.5,52.81,17.91,22.09,6.47,17.5,12.66,9.66,17.06,63.31,2018.0,5.09,14.03,1378.0,0.31
11.57,3.96,26.54,74.57,61.14,17.39,24.04,5.54,17.71,13.07,11.39,18.43,66.68,2018.0,5.25,12.89,1194.0,0.32
12.78,5.19,24.66,71.62,60.44,21.38,26.19,7.12,18.38,13.66,8.69,18.78,73.16,2018.0,8.47,11.91,1385.0,0.47
13.71,3.25,22.11,75.0,53.79,13.46,23.64,4.68,22.71,15.29,11.39,19.18,67.25,2018.0,7.04,15.29,1309.0,0.43
11.72,4.41,24.09,72.25,52.81,17.47,22.06,5.59,24.19,15.78,11.88,18.34,65.5,2018.0,5.91,12.66,1387.0,0.5
12.7,3.53,26.8,69.8,57.43,24.43,24.67,9.07,19.93,14.63,10.6,20.6,73.03,2018.0,4.47,13.77,1370.0,0.57
13.48,3.52,27.39,69.24,56.91,18.03,26.39,6.76,23.76,16.33,10.97,18.12,75.88,2018.0,5.24,14.85,1390.0,0.55
11.83,3.93,23.45,69.9,58.41,24.21,22.86,8.69,15.59,12.24,9.03,18.66,66.66,2018.0,4.76,11.93,1142.0,0.24
10.97,5.58,25.33,71.73,54.42,18.18,22.76,5.85,21.85,16.18,12.09,16.3,67.55,2018.0,7.24,12.58,1393.0,0.61
15.78,3.22,25.63,72.81,57.56,22.59,26.44,7.56,20.22,14.78,8.37,17.78,75.22,2018.0,5.07,13.33,1165.0,0.41
18.78,3.59,25.19,69.88,60.16,21.16,30.0,8.47,20.53,14.53,11.25,16.91,83.0,2018.0,6.59,12.69,1395.0,0.66
13.21,1.18,24.36,76.07,57.82,25.61,24.18,9.21,14.04,10.07,8.82,16.96,67.64,2018.0,5.93,11.82,1419.0,0.46
15.82,4.48,24.48,75.88,57.48,20.45,25.24,7.85,21.0,15.88,11.67,19.58,74.21,2018.0,6.3,12.21,1397.0,0.76
10.93,1.97,21.66,68.38,53.79,23.93,22.24,8.28,15.07,10.55,8.52,14.69,63.31,2018.0,5.1,12.17,1342.0,0.28
11.58,4.97,25.21,72.39,58.88,22.48,25.79,7.09,19.55,13.06,10.58,16.12,71.73,2018.0,6.21,11.85,1400.0,0.58
8.8,4.08,22.12,73.28,57.24,14.56,23.28,4.12,19.0,11.12,12.44,19.68,61.8,2018.0,6.0,17.6,1322.0,0.08
14.42,4.27,24.94,72.39,56.36,19.21,26.15,7.03,22.7,15.91,11.0,18.15,75.24,2018.0,7.39,12.55,1403.0,0.73
12.03,3.57,26.77,70.43,55.73,24.57,22.97,7.93,21.0,14.73,9.33,19.27,68.6,2018.0,5.23,14.9,1375.0,0.4
15.58,4.06,24.9,69.55,57.39,21.39,25.81,7.48,19.77,14.1,9.55,18.03,73.19,2018.0,5.0,13.19,1408.0,0.45
12.33,3.15,27.03,69.88,58.36,22.7,26.58,7.91,22.45,15.64,10.52,19.64,76.7,2018.0,5.58,14.12,1254.0,0.52
16.87,3.65,27.61,73.0,58.45,19.55,28.58,6.81,16.55,12.32,9.87,14.94,76.29,2018.0,5.1,13.23,1412.0,0.58
12.24,3.55,25.14,67.28,59.83,17.55,26.41,5.79,17.97,11.79,9.52,16.48,70.41,2018.0,5.93,13.97,1239.0,0.38
12.31,2.83,24.52,71.9,56.66,19.07,22.55,5.97,18.34,13.0,9.76,20.0,64.07,2018.0,5.79,13.9,1415.0,0.24
9.9,4.81,22.35,69.77,58.74,16.13,23.84,4.61,22.39,15.26,13.26,20.26,67.55,2018.0,6.87,14.77,1143.0,0.26
10.59,3.47,25.09,71.62,50.84,16.81,21.56,5.53,21.94,14.06,9.53,15.25,62.72,2018.0,5.28,13.47,1416.0,0.59
13.93,1.33,24.73,70.7,53.87,21.8,25.3,8.3,19.57,14.97,9.6,17.4,73.87,2018.0,5.13,12.33,1273.0,0.53
15.68,4.18,24.44,72.91,59.82,21.68,28.03,8.12,17.85,12.88,10.09,15.94,77.06,2018.0,6.38,10.56,1425.0,0.68
12.38,3.34,25.59,77.07,52.66,14.97,24.83,5.14,24.24,17.86,8.31,18.24,72.66,2018.0,6.41,14.48,1168.0,0.62
15.43,3.53,25.8,68.83,54.63,24.93,24.93,9.13,19.07,14.5,7.87,16.8,73.5,2018.0,5.27,12.0,1428.0,0.63
12.61,3.09,22.76,72.03,59.79,22.03,25.7,7.12,23.45,15.7,11.82,22.12,74.21,2018.0,7.52,13.45,1341.0,0.45
15.45,2.82,26.09,70.33,61.0,23.58,27.91,8.3,17.15,11.85,10.36,17.0,75.97,2018.0,6.36,13.52,1433.0,0.55
10.83,3.53,26.43,69.0,59.6,15.03,24.73,4.9,24.27,17.17,12.23,21.67,71.53,2018.0,7.67,15.53,1212.0,0.53
12.25,3.38,23.84,70.22,55.47,25.59,24.22,9.03,20.06,14.91,9.75,19.81,72.38,2018.0,4.81,11.84,1435.0,0.38
12.5,2.87,21.77,71.7,57.83,17.2,25.83,6.13,20.97,13.93,12.47,20.03,71.73,2018.0,5.97,14.07,1122.0,0.53
16.68,3.97,26.21,73.53,61.53,28.68,31.03,11.41,17.62,13.59,9.38,15.85,87.06,2018.0,6.68,10.35,1437.0,0.88
13.92,3.42,24.88,68.77,61.81,26.5,27.46,9.85,15.12,11.19,9.92,18.88,75.96,2018.0,6.5,12.73,1162.0,0.27
13.73,3.73,24.27,72.79,54.18,18.88,25.0,7.36,13.42,10.18,8.39,14.06,67.55,2018.0,6.79,8.58,1438.0,0.94
13.94,3.84,24.81,76.35,58.9,27.06,25.81,9.61,15.55,10.9,11.77,18.61,72.13,2018.0,7.39,13.39,1422.0,0.77
16.5,2.28,25.62,69.09,56.59,22.72,28.16,8.75,20.66,14.66,7.38,15.69,79.72,2018.0,5.75,11.94,1439.0,0.66
12.67,2.5,23.97,69.33,62.33,25.2,26.4,8.4,19.4,14.8,10.23,20.2,76.0,2018.0,6.03,13.63,1178.0,0.2
11.59,5.06,23.31,69.09,57.75,19.5,26.28,6.66,21.41,15.06,9.78,18.75,74.28,2018.0,7.97,13.38,1449.0,0.62
16.03,2.48,26.52,66.73,56.15,30.45,27.3,11.45,15.67,11.58,7.82,16.09,77.64,2018.0,4.88,12.42,1125.0,0.73
13.29,3.86,26.75,74.5,54.82,21.29,26.36,8.75,19.25,14.64,5.96,17.57,76.11,2018.0,4.82,12.29,1451.0,0.61
13.67,2.0,24.55,70.27,55.88,25.58,25.12,9.21,18.58,13.06,8.52,18.3,72.52,2018.0,4.94,13.0,1429.0,0.48
18.53,3.94,28.34,72.34,60.75,23.69,29.06,9.12,21.34,15.75,12.16,17.59,83.0,2018.0,4.69,11.56,1455.0,0.78
10.45,2.59,22.86,65.93,56.76,26.24,22.72,8.79,19.55,13.97,7.86,21.66,68.21,2018.0,5.69,13.03,1282.0,0.28
12.45,3.55,21.48,67.21,53.64,19.52,24.03,6.55,17.52,12.24,9.06,16.45,66.85,2018.0,5.45,10.7,1458.0,0.45
10.23,2.27,22.63,68.07,60.87,19.03,25.33,6.2,21.8,15.2,11.43,19.0,72.07,2018.0,5.27,13.53,1354.0,0.27
15.59,3.84,27.53,72.09,59.28,26.62,26.31,9.09,24.41,17.97,7.12,20.03,79.69,2018.0,6.56,13.59,1461.0,0.59
12.13,2.16,22.61,71.65,54.29,23.26,23.16,8.1,18.77,13.32,9.19,15.42,67.74,2018.0,5.13,14.1,1151.0,0.26
16.64,2.94,28.61,68.82,58.85,21.18,28.88,7.82,23.67,18.7,9.79,16.94,84.27,2018.0,5.85,12.42,1462.0,0.85
11.3,2.74,23.19,67.85,56.3,21.63,23.7,6.89,20.67,14.41,11.22,21.07,68.7,2018.0,5.81,15.59,1287.0,0.22
12.94,2.39,23.48,75.84,57.06,26.65,24.68,9.45,17.94,12.48,9.58,20.03,71.29,2018.0,5.97,13.84,1103.0,0.42
12.91,2.47,22.79,73.65,55.76,24.24,24.12,8.24,16.41,11.56,7.56,17.06,68.03,2018.0,6.24,13.12,1156.0,0.32
13.25,4.0,24.66,68.59,53.72,18.41,23.0,6.56,20.28,14.44,10.59,18.97,67.0,2018.0,6.38,13.22,1133.0,0.59
12.43,3.21,21.64,71.04,57.11,20.11,23.86,7.14,18.79,12.46,11.64,18.71,67.32,2018.0,6.75,14.07,1237.0,0.32
16.76,4.33,26.82,75.12,64.79,25.91,30.7,9.64,19.64,13.67,12.03,21.15,84.7,2018.0,6.21,12.39,1138.0,0.76
16.94,2.91,23.41,66.97,58.78,26.41,27.44,9.28,17.03,12.12,10.22,18.84,76.28,2018.0,6.81,13.19,1145.0,0.66
15.29,3.76,25.71,69.82,53.79,18.29,26.03,6.44,20.62,15.53,6.82,16.82,74.03,2018.0,6.41,11.56,1140.0,0.71
10.22,1.75,23.22,69.56,61.84,17.75,23.69,5.34,17.97,12.12,12.34,20.56,64.84,2018.0,5.81,13.19,1290.0,0.12
11.94,4.38,23.81,70.34,58.56,23.28,25.03,8.16,20.72,14.19,12.09,18.75,72.41,2018.0,5.81,11.97,1182.0,0.5
11.24,2.52,22.41,69.1,59.86,25.24,24.79,8.72,18.21,13.0,9.83,21.55,71.31,2018.0,7.03,12.62,1383.0,0.38
14.76,2.88,25.82,73.73,60.88,27.06,26.7,9.18,18.82,13.36,9.06,20.09,75.94,2018.0,6.39,12.76,1193.0,0.52
15.0,2.81,28.52,72.23,58.97,24.58,27.0,8.55,19.84,13.16,8.74,17.48,75.71,2018.0,5.84,12.0,1335.0,0.74
14.77,2.71,27.16,67.9,59.9,19.1,29.71,7.13,20.06,14.94,10.45,18.58,81.48,2018.0,7.03,14.19,1195.0,0.65
14.0,4.03,25.72,71.12,57.91,26.69,24.38,8.97,19.59,13.47,9.62,20.62,71.19,2018.0,6.53,13.41,1229.0,0.53
11.55,3.55,24.15,75.12,59.91,22.91,25.42,7.42,19.42,14.21,11.33,18.91,72.48,2018.0,5.91,13.21,1245.0,0.48
13.2,3.73,21.6,69.73,64.37,21.97,27.0,7.3,18.27,11.53,13.8,21.13,72.83,2018.0,7.27,14.23,1464.0,0.2
12.81,2.81,25.97,68.0,59.53,22.19,25.53,7.31,18.47,14.53,9.16,17.09,72.91,2018.0,5.91,11.69,1247.0,0.41
11.81,3.19,23.72,71.94,55.16,23.44,23.16,7.91,15.06,10.94,9.12,18.81,65.16,2018.0,6.59,13.06,1389.0,0.44
14.03,1.79,26.76,68.62,61.41,24.0,27.62,9.76,15.86,12.28,8.9,18.48,77.28,2018.0,5.97,12.66,1250.0,0.52
11.9,2.48,26.03,67.9,55.16,25.87,24.55,9.03,19.74,14.1,7.52,17.68,72.23,2018.0,4.19,15.74,1265.0,0.19
14.59,3.09,24.68,70.38,57.24,24.71,26.65,8.97,17.32,11.38,8.65,15.71,73.65,2018.0,6.18,9.18,1276.0,0.79
13.62,5.59,25.5,63.97,57.53,20.25,24.91,7.06,22.09,15.84,10.78,17.12,72.72,2018.0,6.06,11.16,1304.0,0.69
11.9,4.21,23.31,72.0,55.59,20.21,22.93,7.14,17.9,12.34,10.69,16.62,65.34,2018.0,5.62,13.62,1183.0,0.34
14.36,3.48,25.55,73.64,58.79,23.3,26.09,8.48,18.61,14.12,10.55,12.94,74.79,2018.0,5.76,9.88,1323.0,0.58
15.0,3.03,25.06,69.39,61.74,20.19,26.42,6.26,18.13,12.84,12.35,17.84,71.94,2018.0,6.45,13.87,1177.0,0.35
14.43,3.33,27.7,71.5,61.0,21.43,27.1,7.97,18.83,13.47,8.33,16.47,75.63,2018.0,6.73,13.53,1325.0,0.43
10.97,1.58,22.94,67.97,54.71,19.39,21.71,5.87,17.19,11.13,10.81,16.32,60.42,2018.0,3.97,16.58,1105.0,0.1
14.8,3.43,23.23,74.7,67.57,25.3,29.17,8.43,22.67,15.93,14.5,22.47,82.7,2018.0,8.57,12.57,1340.0,0.57
11.52,3.9,23.97,70.86,53.34,20.17,23.14,7.72,18.48,12.69,6.24,18.55,66.69,2018.0,5.07,12.38,1339.0,0.24
12.24,2.61,24.61,69.94,56.48,27.06,23.85,9.18,20.91,14.76,10.0,17.15,71.64,2018.0,5.52,13.52,1346.0,0.36
13.08,3.19,23.23,75.04,53.81,20.38,23.96,7.35,17.65,12.54,7.81,15.88,67.81,2018.0,5.54,13.62,1171.0,0.23
14.8,3.6,25.8,71.53,58.57,21.13,27.0,8.1,18.73,13.13,9.93,16.93,75.23,2018.0,4.77,10.13,1364.0,0.7
12.52,2.28,26.28,68.48,55.41,24.52,25.24,9.03,16.86,12.72,7.45,17.79,72.24,2018.0,4.31,12.66,1295.0,0.41
13.57,2.97,23.77,78.9,58.0,18.8,27.43,7.03,23.2,16.27,11.27,21.83,78.17,2018.0,9.5,15.17,1372.0,0.8
9.47,3.03,24.1,72.17,52.4,20.5,21.07,6.47,18.5,12.6,7.8,17.6,61.2,2018.0,6.33,15.9,1255.0,0.13
15.61,2.76,25.58,67.58,54.52,19.12,28.03,7.73,17.0,13.18,7.91,15.58,76.97,2018.0,4.33,9.73,1388.0,0.85
13.04,2.25,24.43,70.39,58.68,21.5,27.36,7.93,19.64,15.21,8.68,15.96,77.86,2018.0,6.5,11.75,1384.0,0.57
15.47,5.91,28.78,70.69,60.66,20.12,27.72,6.59,19.44,12.97,12.56,16.75,75.0,2018.0,5.59,13.56,1401.0,0.62
15.06,5.26,23.88,73.32,64.0,24.91,27.76,8.79,19.97,15.29,14.0,21.38,79.62,2018.0,8.03,11.32,1452.0,0.71
15.67,3.91,27.3,76.0,57.39,23.91,26.91,9.7,21.3,15.73,9.36,16.12,79.24,2018.0,3.61,11.58,1405.0,0.67
13.97,2.84,28.5,73.28,61.03,23.66,25.81,7.97,21.09,14.5,9.03,15.53,74.09,2018.0,6.34,9.97,1386.0,0.5
15.06,3.91,28.47,70.22,61.38,24.47,28.31,9.38,22.03,15.91,10.31,17.94,81.91,2018.0,5.72,11.84,1417.0,0.66
12.78,5.34,23.44,72.38,55.31,15.31,23.53,4.88,19.25,13.72,10.44,16.66,65.66,2018.0,6.91,12.84,1210.0,0.41
16.21,4.42,28.52,71.21,60.61,16.79,29.64,5.61,26.3,18.55,11.97,17.58,83.42,2018.0,5.58,14.33,1424.0,0.61
15.97,4.06,27.82,72.55,60.33,24.09,27.27,8.79,21.0,14.45,11.15,18.36,77.79,2018.0,6.73,14.88,1426.0,0.61
13.9,2.37,19.97,71.3,58.43,18.73,25.63,6.5,18.93,13.53,12.07,19.87,71.3,2018.0,7.07,13.0,1258.0,0.33
13.33,3.7,25.13,75.1,58.8,23.0,25.4,8.43,20.4,14.33,12.97,22.3,73.57,2018.0,6.23,13.63,1447.0,0.7
12.86,2.82,23.68,66.21,59.5,21.32,25.89,7.54,19.57,13.29,10.96,18.71,72.61,2018.0,7.89,13.11,1312.0,0.43
13.9,2.62,22.69,72.79,56.1,24.41,22.76,7.93,17.93,13.24,9.83,18.14,66.69,2018.0,6.45,12.76,1102.0,0.34
12.81,2.65,22.97,70.71,52.9,19.71,22.58,6.52,19.23,13.0,10.65,16.48,64.68,2018.0,4.94,13.58,1402.0,0.42
13.13,2.13,28.4,68.6,59.17,24.8,27.37,9.4,18.07,13.33,9.87,17.73,77.47,2018.0,5.53,13.4,1129.0,0.73
12.57,3.14,24.5,68.29,57.11,26.43,25.82,9.86,14.93,10.64,7.36,17.57,72.14,2018.0,4.5,11.21,1343.0,0.43
14.88,2.31,25.34,75.38,56.62,20.31,26.0,6.12,21.53,15.38,9.62,18.0,73.5,2018.0,5.78,13.88,1299.0,0.56
12.93,3.1,24.27,69.63,57.43,19.9,24.7,6.07,16.47,10.97,9.73,17.67,66.43,2018.0,4.93,14.37,1187.0,0.33
17.4,3.67,27.47,70.2,58.77,20.6,26.67,7.53,22.53,17.47,10.9,17.7,78.33,2018.0,5.47,15.27,1207.0,0.5
12.83,3.8,26.03,73.8,55.7,23.03,24.03,8.17,15.3,12.07,8.67,17.77,68.3,2018.0,5.1,13.63,1217.0,0.57
13.15,2.55,25.36,72.52,50.91,18.45,24.94,7.45,21.79,16.39,7.58,15.21,73.73,2018.0,3.76,11.03,1436.0,0.79
14.93,2.9,27.52,70.28,60.48,23.52,27.52,7.76,24.93,18.07,10.14,20.28,80.86,2018.0,6.31,15.62,1252.0,0.69
13.61,6.18,26.82,73.42,59.73,20.94,27.18,7.76,19.12,14.09,10.09,16.45,76.21,2018.0,7.0,11.85,1257.0,0.61
10.4,1.67,22.17,67.37,57.17,21.97,21.63,6.03,16.97,11.47,10.87,16.83,60.77,2018.0,4.5,13.03,1271.0,0.17
11.88,2.91,23.0,73.44,54.84,21.81,23.28,7.66,17.34,12.72,10.81,16.75,66.94,2018.0,6.31,12.0,1347.0,0.62
15.06,4.71,27.87,72.23,64.29,26.32,29.84,9.55,21.29,15.94,10.39,17.23,85.16,2018.0,6.58,13.39,1328.0,0.58
9.58,4.06,25.0,69.48,60.03,14.64,24.03,4.33,18.27,11.91,13.06,17.3,64.3,2018.0,6.85,11.58,1353.0,0.42
13.4,3.83,25.23,67.8,51.5,23.33,22.73,8.37,20.83,14.87,7.1,21.13,68.7,2018.0,5.23,12.97,1360.0,0.57
12.24,2.24,26.17,71.62,53.52,16.1,23.14,5.83,18.34,12.62,9.1,19.1,64.72,2018.0,4.31,16.38,1363.0,0.1
11.94,3.94,23.42,66.58,55.45,14.13,24.61,4.61,22.48,16.32,10.45,18.13,70.16,2018.0,6.13,11.55,1334.0,0.42
13.79,2.64,24.68,66.54,63.68,22.14,27.5,7.29,15.89,10.86,8.89,18.89,73.14,2018.0,7.11,10.93,1391.0,0.29
11.55,3.17,26.1,73.72,60.1,19.38,25.31,6.07,21.93,13.52,10.21,18.28,70.21,2018.0,7.41,11.21,1198.0,0.38
14.25,2.14,25.93,67.32,55.79,17.64,25.75,6.96,18.32,12.79,10.11,18.96,71.25,2018.0,4.07,15.11,1176.0,0.46
15.41,2.93,24.62,74.48,65.66,35.0,26.38,11.69,21.45,15.0,11.69,18.55,79.45,2018.0,8.34,14.76,1154.0,0.28
12.5,3.0,25.78,73.91,56.84,23.31,26.5,9.0,16.06,12.31,7.0,19.06,74.31,2018.0,5.19,11.72,1186.0,0.56
14.52,2.29,24.16,70.81,57.9,29.19,25.84,11.0,14.32,10.55,8.32,17.16,73.23,2018.0,5.29,13.58,1450.0,0.39
13.89,3.63,23.22,70.96,56.48,19.96,25.52,6.48,18.67,13.15,9.04,21.04,70.67,2018.0,7.15,14.41,1101.0,0.44
10.81,2.92,24.19,76.54,54.54,15.31,23.58,5.27,20.19,14.62,9.77,21.31,67.04,2018.0,6.31,16.23,1394.0,0.31
12.5,2.92,24.92,71.35,59.73,21.42,25.5,6.88,24.12,18.04,11.0,20.85,75.92,2018.0,6.38,13.62,1135.0,0.38
10.6,2.53,22.53,68.63,55.2,18.3,23.07,6.07,15.73,10.97,10.1,17.6,63.17,2018.0,5.53,15.4,1175.0,0.07
12.97,4.72,24.34,71.22,60.53,24.31,26.28,9.12,20.0,14.38,10.78,17.25,76.06,2018.0,6.91,9.81,1196.0,0.62
12.43,3.27,24.67,69.8,55.67,17.0,27.0,6.63,21.4,15.03,8.6,19.73,75.67,2018.0,6.43,12.0,1201.0,0.63
11.68,2.5,22.61,69.5,56.04,16.89,23.82,5.86,15.86,11.29,8.0,17.82,64.79,2018.0,4.86,12.32,1169.0,0.14
12.41,2.7,24.11,68.59,54.96,20.22,22.56,6.04,19.11,13.07,10.85,20.81,64.22,2018.0,5.63,13.89,1167.0,0.33
15.12,5.0,26.19,69.5,57.88,17.38,26.47,5.56,17.25,12.09,11.38,17.53,70.59,2018.0,5.97,12.88,1240.0,0.62
13.9,3.84,24.61,72.84,56.52,22.97,24.58,8.42,20.61,15.0,9.55,17.26,72.58,2018.0,5.61,12.29,1256.0,0.48
13.52,1.69,23.59,67.21,55.59,24.1,25.45,9.48,20.97,15.17,8.79,18.1,75.55,2018.0,5.55,12.59,1369.0,0.41
12.63,3.27,24.43,76.4,59.03,26.9,25.03,9.03,20.63,16.57,11.13,16.73,75.67,2018.0,5.97,12.07,1141.0,0.53
12.81,3.35,25.45,75.9,59.48,16.16,28.0,5.52,23.13,16.55,11.94,21.06,78.06,2018.0,7.77,12.35,1285.0,0.77
14.0,2.2,25.5,72.57,57.83,19.47,26.73,7.17,17.77,13.23,10.53,19.67,73.87,2018.0,6.13,12.57,1292.0,0.77
14.34,3.03,26.28,74.34,56.34,22.38,26.9,8.38,20.9,15.21,10.52,17.41,77.38,2018.0,6.59,11.72,1293.0,0.83
12.03,2.67,25.93,71.17,58.2,21.9,25.5,7.6,19.03,12.23,11.17,19.4,70.83,2018.0,4.63,13.6,1317.0,0.43
10.61,2.07,24.54,71.54,55.96,19.32,23.71,6.68,21.75,15.54,9.32,17.89,69.64,2018.0,5.5,14.86,1150.0,0.18
12.26,3.26,24.35,67.52,60.32,21.65,25.29,7.26,20.58,15.1,10.94,21.13,72.94,2018.0,6.94,11.71,1241.0,0.29
12.3,3.1,23.9,72.87,59.73,21.27,25.8,7.33,20.4,14.77,10.9,17.77,73.7,2018.0,6.47,10.83,1444.0,0.5
12.93,1.6,26.53,67.17,60.4,19.07,28.3,6.87,21.4,16.17,10.23,17.9,79.63,2018.0,6.8,11.37,1377.0,0.73
13.77,3.0,28.4,74.1,61.77,22.47,28.2,7.63,18.0,11.57,12.6,18.17,75.6,2018.0,5.53,12.27,1308.0,0.83
13.35,3.23,24.61,70.1,57.71,20.74,24.71,7.16,21.74,14.81,10.29,19.94,71.39,2018.0,7.35,14.23,1399.0,0.55
14.6,2.67,23.37,74.0,55.47,20.33,25.07,7.2,19.97,12.97,10.27,16.97,70.3,2018.0,6.33,13.43,1368.0,0.63
13.86,3.29,23.61,63.29,61.86,19.82,26.86,6.79,15.04,10.5,13.14,17.89,71.0,2018.0,5.18,13.11,1331.0,0.29
15.1,3.73,28.33,71.37,63.03,23.37,27.53,7.3,25.97,18.23,13.0,21.17,80.6,2018.0,6.13,15.87,1126.0,0.53
12.07,2.2,24.03,72.87,54.13,17.23,25.1,6.33,21.23,15.27,7.97,19.47,71.8,2018.0,6.87,13.1,1413.0,0.67
13.13,3.81,26.1,69.61,56.87,21.1,25.35,7.16,15.77,10.55,8.58,16.58,68.42,2018.0,6.06,12.29,1454.0,0.48
14.94,3.13,26.39,75.23,59.87,21.61,27.42,7.42,20.52,14.81,11.1,17.23,77.06,2018.0,6.16,11.97,1361.0,0.68
14.8,1.9,25.97,73.37,65.33,22.1,28.13,7.63,20.3,13.97,13.77,18.67,77.87,2018.0,5.03,12.83,1423.0,0.3
15.26,5.16,26.32,69.94,61.71,22.77,29.26,8.0,22.29,15.26,11.71,18.29,81.77,2018.0,6.71,13.0,1199.0,0.65
15.58,2.16,24.71,71.94,60.03,28.26,28.0,9.97,16.9,11.94,9.32,16.45,77.9,2018.0,7.87,11.61,1202.0,0.68
12.81,4.47,24.84,74.91,57.38,23.59,26.41,9.22,18.12,12.38,8.66,18.56,74.41,2018.0,7.16,11.47,1209.0,0.69
12.93,3.38,25.34,70.72,55.86,20.41,23.97,6.79,21.66,15.72,11.93,19.66,70.45,2018.0,5.28,15.28,1157.0,0.38
13.48,2.19,25.58,73.48,51.55,21.68,23.35,7.97,18.03,14.42,6.84,17.23,69.1,2018.0,5.39,12.03,1251.0,0.55
11.57,2.9,23.83,70.8,54.23,19.1,22.7,6.07,17.43,10.7,9.9,19.57,62.17,2018.0,4.63,14.67,1114.0,0.2
10.77,2.73,21.13,71.87,60.07,22.63,22.13,7.43,14.93,9.87,12.43,20.47,61.57,2018.0,6.77,11.4,1238.0,0.33
8.87,1.63,24.3,73.23,58.0,15.87,26.13,5.17,19.17,14.03,9.83,19.2,71.47,2018.0,6.33,11.77,1296.0,0.37
13.4,2.9,26.33,70.47,61.03,24.83,25.17,9.0,19.73,14.83,9.9,19.5,74.17,2018.0,6.43,13.8,1453.0,0.33
15.12,2.73,21.94,73.0,60.0,28.48,26.79,10.58,20.79,16.09,9.21,20.48,80.24,2018.0,6.94,12.24,1307.0,0.55
11.48,1.69,26.48,69.07,56.9,24.66,22.31,8.03,17.34,12.76,10.52,18.28,65.41,2018.0,2.97,11.52,1306.0,0.28
13.97,3.9,22.94,67.77,53.58,19.29,23.77,7.71,20.16,14.0,10.29,19.9,69.26,2018.0,6.0,15.55,1264.0,0.45
12.55,2.28,20.48,70.38,53.86,22.03,22.45,7.45,16.28,11.62,8.0,16.97,63.97,2018.0,5.48,11.17,1365.0,0.34
13.4,2.3,27.77,73.07,62.5,27.83,26.87,9.9,18.17,12.47,10.57,20.63,76.1,2018.0,6.17,12.57,1427.0,0.53
12.43,3.2,25.2,68.7,54.3,19.6,24.23,6.7,19.93,14.2,8.83,21.47,69.37,2018.0,7.07,14.73,1434.0,0.43
9.42,3.71,27.04,71.38,55.46,19.08,24.33,6.67,15.71,11.46,6.0,16.46,66.79,2018.0,4.21,13.04,1442.0,0.33
10.2,2.73,26.23,71.5,55.73,21.5,23.9,7.13,17.27,11.53,6.83,18.77,66.47,2018.0,4.1,12.33,1431.0,0.33
12.14,5.97,24.28,78.03,56.31,18.76,25.86,6.28,17.17,11.93,10.14,16.79,69.93,2018.0,8.07,12.62,1185.0,0.59
11.87,3.32,26.26,71.29,59.39,25.58,25.35,8.52,21.87,14.65,11.19,18.9,73.87,2018.0,5.45,13.52,1111.0,0.42
14.07,1.73,21.97,77.47,56.6,21.97,24.73,7.5,16.03,11.3,7.0,15.5,68.27,2018.0,6.63,9.8,1379.0,0.4
12.78,3.22,23.78,73.22,60.38,23.62,25.66,8.34,15.47,10.69,10.25,17.41,70.34,2018.0,6.69,10.81,1396.0,0.53
14.9,2.48,25.29,68.23,57.81,23.35,25.13,8.45,18.19,13.97,8.13,15.58,72.68,2018.0,5.74,12.0,1179.0,0.48
13.9,1.79,24.21,76.66,57.79,20.38,24.55,6.83,19.34,13.9,11.9,20.14,69.83,2018.0,5.66,12.97,1358.0,0.52
10.5,4.54,23.62,78.83,53.58,17.46,22.46,6.04,22.04,16.5,9.17,18.88,67.46,2018.0,5.25,16.58,1230.0,0.12
